MULTI-THREADING THREAD 1 SIMULATION TABLE
Task #      Echelon      Priority      Request Code      Total Time      Start Time      End Time
    1)      1             1             7244             4547ms                 0ms          4547ms
    2)      1             1            17395             8154ms              4597ms         12751ms
    3)      1             1            59457             4712ms             12801ms         17513ms
    4)      1             1            40908            17538ms             17563ms         35101ms
    5)      1             1            31301            11682ms             35151ms         46833ms
    6)      1             1            44851             1960ms             46883ms         48843ms
    7)      1             1            30241              595ms             48893ms         49488ms
    8)      1             1             6328             2158ms             49538ms         51696ms
    9)      1             1            20867            14441ms             51746ms         66187ms
   10)      1             1            40932            16710ms             66237ms         82947ms
   11)      1             1            57803             3060ms             82997ms         86057ms
   12)      1             1            24697             6115ms             86107ms         92222ms
   13)      1             1            58767              234ms             92272ms         92506ms
   14)      1             1             9965            11679ms             92556ms        104235ms
   15)      1             1            64770             1662ms            104285ms        105947ms
   16)      1             1             3325             2654ms            105997ms        108651ms
   17)      1             1            28057             9454ms            108701ms        118155ms
   18)      1             1             9508             9210ms            118205ms        127415ms
   19)      1             1            14744             2946ms            127465ms        130411ms
   20)      1             1            38248             3765ms            130461ms        134226ms
   21)      1             1            50135            12742ms            134276ms        147018ms
   22)      1             1            37984            14699ms            147068ms        161767ms
   23)      1             1            63173            13085ms            161817ms        174902ms
   24)      1             1             1399             2817ms            174952ms        177769ms
   25)      1             1            17623             4243ms            177819ms        182062ms
   26)      1             1            36555            12929ms            182112ms        195041ms
   27)      1             1            50616             1932ms            195091ms        197023ms
   28)      1             1             7223             9313ms            197073ms        206386ms
   29)      1             1             2351             2719ms            206436ms        209155ms
   30)      1             1            39822            11790ms            209205ms        220995ms
   31)      1             1            62325             6495ms            221045ms        227540ms
   32)      1             1            12002            10014ms            227590ms        237604ms
   33)      1             1            46290             2103ms            237654ms        239757ms
   34)      1             1             4567             8285ms            239807ms        248092ms
   35)      1             1            10381            12595ms            248142ms        260737ms
   36)      1             1            26001             7810ms            260787ms        268597ms
   37)      1             1             3854             4145ms            268647ms        272792ms
   38)      1             1            58646             1352ms            272842ms        274194ms
   39)      1             1            25586            15993ms            274244ms        290237ms
   40)      1             1            49445             3975ms            290287ms        294262ms
   41)      1             1            26860             5849ms            294312ms        300161ms
   42)      1             1            36025             3645ms            300211ms        303856ms
   43)      1             1            16087            13999ms            303906ms        317905ms
