SINGLE-THREADING SIMULATION TABLE
Task #      Echelon      Priority      Request Code      Total Time      Start Time      End Time
  512)      1             6            62885             6653ms           2471613ms       2478266ms
  513)      1             6            16252             2678ms           2478316ms       2480994ms
  514)      1             6            41133             2245ms           2481044ms       2483289ms
  515)      1             6            17682             8314ms           2483339ms       2491653ms
  516)      1             6            31448              333ms           2491703ms       2492036ms
  517)      1             6             5334             3823ms           2492086ms       2495909ms
  518)      1             6            57776              459ms           2495959ms       2496418ms
  519)      1             6            49976             5118ms           2496468ms       2501586ms
  520)      1             6            20119              809ms           2501636ms       2502445ms
  521)      1             6            24307             9608ms           2502495ms       2512103ms
  522)      1             6            50179             2547ms           2512153ms       2514700ms
  523)      1             6            44624             1301ms           2514750ms       2516051ms
  524)      1             6            41731              704ms           2516101ms       2516805ms
  525)      1             6            20085             9021ms           2516855ms       2525876ms
  526)      1             6            62254             2896ms           2525926ms       2528822ms
  527)      1             6            52877             8903ms           2528872ms       2537775ms
  528)      1             6            49645             9662ms           2537825ms       2547487ms
  529)      1             6            10421             9502ms           2547537ms       2557039ms
  530)      1             6             6834             5255ms           2557089ms       2562344ms
  531)      1             6            25298             5914ms           2562394ms       2568308ms
  532)      1             6            39447             4759ms           2568358ms       2573117ms
  533)      1             6            53973             1019ms           2573167ms       2574186ms
  534)      1             6            41430             4220ms           2574236ms       2578456ms
  535)      1             6            43168             6692ms           2578506ms       2585198ms
  536)      1             6            38982             2724ms           2585248ms       2587972ms
  537)      1             6            53139             2460ms           2588022ms       2590482ms
  538)      1             6            48482             2227ms           2590532ms       2592759ms
  539)      1             6             6209             3551ms           2592809ms       2596360ms
  540)      1             6            57255             3777ms           2596410ms       2600187ms
  541)      1             6            47779             2343ms           2600237ms       2602580ms
  542)      1             6            43909             7658ms           2602630ms       2610288ms
  543)      1             6            35492             4465ms           2610338ms       2614803ms
  544)      1             6            55640             4527ms           2614853ms       2619380ms
  545)      1             6            35364              665ms           2619430ms       2620095ms
  546)      1             6            51692             4081ms           2620145ms       2624226ms
  547)      1             6            25340              969ms           2624276ms       2625245ms
  548)      1             6            48424             8139ms           2625295ms       2633434ms
  549)      1             6            17144             4806ms           2633484ms       2638290ms
  550)      1             6             4853             9225ms           2638340ms       2647565ms
  551)      1             6            19043             5116ms           2647615ms       2652731ms
  552)      1             6            18726             9711ms           2652781ms       2662492ms
  553)      1             6            40978             9529ms           2662542ms       2672071ms
  554)      1             6            62420             5754ms           2672121ms       2677875ms
  555)      1             6            27101             2780ms           2677925ms       2680705ms
  556)      1             6            10531             8961ms           2680755ms       2689716ms
  557)      1             6            43778             4251ms           2689766ms       2694017ms
  558)      1             6            22959             4817ms           2694067ms       2698884ms
  559)      1             6            27196             7693ms           2698934ms       2706627ms
  560)      1             6            37952             1614ms           2706677ms       2708291ms
  561)      1             6            37807             4845ms           2708341ms       2713186ms
  562)      1             6            17016             7158ms           2713236ms       2720394ms
  563)      1             6            23225             3632ms           2720444ms       2724076ms
  564)      1             6              721             9735ms           2724126ms       2733861ms
  565)      1             6            45601             1611ms           2733911ms       2735522ms
  566)      1             6            23405             2638ms           2735572ms       2738210ms
  567)      1             6            65244             9412ms           2738260ms       2747672ms
  568)      1             6             2926             6555ms           2747722ms       2754277ms
  569)      1             6            37889             5660ms           2754327ms       2759987ms
  570)      1             6            59814             7399ms           2760037ms       2767436ms
  571)      1             6            59323             5543ms           2767486ms       2773029ms
  572)      1             6            21797             3448ms           2773079ms       2776527ms
  573)      1             6            51557             9568ms           2776577ms       2786145ms
  574)      1             6            43837             8720ms           2786195ms       2794915ms
  575)      1             6            37982             6352ms           2794965ms       2801317ms
  576)      1             6            36965             5114ms           2801367ms       2806481ms
  577)      1             6            53826             1418ms           2806531ms       2807949ms
  578)      1             6             4392             5393ms           2807999ms       2813392ms
  579)      1             6            55823             1841ms           2813442ms       2815283ms
  580)      1             6            25831             6103ms           2815333ms       2821436ms
  581)      1             6            24392             4960ms           2821486ms       2826446ms
  582)      1             6            34713             1297ms           2826496ms       2827793ms
  583)      1             6            15690             1398ms           2827843ms       2829241ms
  584)      1             6             8819             8057ms           2829291ms       2837348ms
  585)      1             6            13466             3662ms           2837398ms       2841060ms
  586)      1             6            13156             9703ms           2841110ms       2850813ms
  587)      1             6            34759             1893ms           2850863ms       2852756ms
  588)      1             6            49171              679ms           2852806ms       2853485ms
  589)      1             6            10101             6927ms           2853535ms       2860462ms
  590)      1             6             1742             3193ms           2860512ms       2863705ms
  591)      1             6            41716             6328ms           2863755ms       2870083ms
  592)      1             6            38590             8179ms           2870133ms       2878312ms
  593)      1             6            55505             5501ms           2878362ms       2883863ms
  594)      1             6            40173             6195ms           2883913ms       2890108ms
  595)      1             6            22121             4947ms           2890158ms       2895105ms
  596)      1             6            46950             1609ms           2895155ms       2896764ms
  597)      1             6            62668             1447ms           2896814ms       2898261ms
  598)      1             6            17217             6095ms           2898311ms       2904406ms
  599)      1             6            18768             3685ms           2904456ms       2908141ms
  600)      1             6            63055             4609ms           2908191ms       2912800ms
  601)      1             6            28432             2266ms           2912850ms       2915116ms
  602)      1             6            11138             1592ms           2915166ms       2916758ms
  603)      1             6            31405             1494ms           2916808ms       2918302ms
  604)      1             6            18072             6874ms           2918352ms       2925226ms
  605)      1             6            43165             4266ms           2925276ms       2929542ms
  606)      1             6            16972              489ms           2929592ms       2930081ms
  607)      1             7            26473             8100ms           2930131ms       2938231ms
  608)      1             7            61591             8858ms           2938281ms       2947139ms
  609)      1             7            42568             1335ms           2947189ms       2948524ms
  610)      1             7            15750             3196ms           2948574ms       2951770ms
  611)      1             7            63893               40ms           2951820ms       2951860ms
  612)      1             7            12055              838ms           2951910ms       2952748ms
  613)      1             7            12743             7947ms           2952798ms       2960745ms
  614)      1             7            25723             4871ms           2960795ms       2965666ms
  615)      1             7            17050             4525ms           2965716ms       2970241ms
  616)      1             7            27102             7695ms           2970291ms       2977986ms
  617)      1             7            48358             3481ms           2978036ms       2981517ms
  618)      1             7            15879             5753ms           2981567ms       2987320ms
  619)      1             7             9089             6258ms           2987370ms       2993628ms
  620)      1             7            62108             1136ms           2993678ms       2994814ms
  621)      1             7            17355             3475ms           2994864ms       2998339ms
  622)      1             7            61883             4036ms           2998389ms       3002425ms
  623)      1             7            61091             1931ms           3002475ms       3004406ms
  624)      1             7            63177             3018ms           3004456ms       3007474ms
  625)      1             7            65385             8444ms           3007524ms       3015968ms
  626)      1             7            54145             5261ms           3016018ms       3021279ms
  627)      1             7            64330             2148ms           3021329ms       3023477ms
  628)      1             7            18085             9991ms           3023527ms       3033518ms
  629)      1             7            40047              591ms           3033568ms       3034159ms
  630)      1             7             8405             3618ms           3034209ms       3037827ms
  631)      1             7             7476             9080ms           3037877ms       3046957ms
  632)      1             7            53917             2793ms           3047007ms       3049800ms
  633)      1             7            40682             7021ms           3049850ms       3056871ms
  634)      1             7            26469             7571ms           3056921ms       3064492ms
  635)      1             7            63978             3245ms           3064542ms       3067787ms
  636)      1             7            15615             3561ms           3067837ms       3071398ms
  637)      1             7             6724             7154ms           3071448ms       3078602ms
  638)      1             7            36778             8261ms           3078652ms       3086913ms
  639)      1             7            18178             5872ms           3086963ms       3092835ms
  640)      1             7            19425             5488ms           3092885ms       3098373ms
  641)      1             7            23391             4495ms           3098423ms       3102918ms
  642)      1             7            32793             8859ms           3102968ms       3111827ms
  643)      1             7            35392             2951ms           3111877ms       3114828ms
  644)      1             7            52190             5402ms           3114878ms       3120280ms
  645)      1             7            64986             3184ms           3120330ms       3123514ms
  646)      1             7            59465              568ms           3123564ms       3124132ms
  647)      1             7            27295             8673ms           3124182ms       3132855ms
  648)      1             7            63057             4452ms           3132905ms       3137357ms
  649)      1             7            11503             8526ms           3137407ms       3145933ms
  650)      1             7            25669             9616ms           3145983ms       3155599ms
  651)      1             7            13662             9388ms           3155649ms       3165037ms
  652)      1             7            13340             9296ms           3165087ms       3174383ms
  653)      1             7            54788             4199ms           3174433ms       3178632ms
  654)      1             7              531             7057ms           3178682ms       3185739ms
  655)      1             7            20708             9531ms           3185789ms       3195320ms
  656)      1             7            13726             9246ms           3195370ms       3204616ms
  657)      1             7            49898             1336ms           3204666ms       3206002ms
  658)      1             7            48740             6268ms           3206052ms       3212320ms
  659)      1             7             7882             6953ms           3212370ms       3219323ms
  660)      1             7             4150             9745ms           3219373ms       3229118ms
  661)      1             7            39177             5150ms           3229168ms       3234318ms
  662)      1             7            15204             8917ms           3234368ms       3243285ms
  663)      1             7             8236             7258ms           3243335ms       3250593ms
  664)      1             7            14513             3332ms           3250643ms       3253975ms
  665)      1             7            34211             7207ms           3254025ms       3261232ms
  666)      1             7            56534             1626ms           3261282ms       3262908ms
  667)      1             7            29843             2307ms           3262958ms       3265265ms
  668)      1             7            23253             7357ms           3265315ms       3272672ms
  669)      1             7            59334             7596ms           3272722ms       3280318ms
  670)      1             7            13373             3847ms           3280368ms       3284215ms
  671)      1             7            57191             9130ms           3284265ms       3293395ms
  672)      1             7            56372             2806ms           3293445ms       3296251ms
  673)      1             7            23295             8361ms           3296301ms       3304662ms
  674)      1             7            51712             6288ms           3304712ms       3311000ms
  675)      1             7            64985             6034ms           3311050ms       3317084ms
  676)      1             7            11429             9793ms           3317134ms       3326927ms
  677)      1             7            21316             8676ms           3326977ms       3335653ms
  678)      1             7            42167             2845ms           3335703ms       3338548ms
  679)      1             7            43276             6584ms           3338598ms       3345182ms
  680)      1             7            59037             2010ms           3345232ms       3347242ms
  681)      1             7            46016             6923ms           3347292ms       3354215ms
  682)      1             7            13423             8457ms           3354265ms       3362722ms
  683)      1             7            14549             3647ms           3362772ms       3366419ms
  684)      1             7            44035             4623ms           3366469ms       3371092ms
  685)      1             7            37716             3998ms           3371142ms       3375140ms
  686)      1             7            39664             6211ms           3375190ms       3381401ms
  687)      1             7            22485             7558ms           3381451ms       3389009ms
  688)      1             7             8856             4046ms           3389059ms       3393105ms
  689)      1             7             7389             8588ms           3393155ms       3401743ms
  690)      1             7             7590             6935ms           3401793ms       3408728ms
  691)      1             7            16312             5185ms           3408778ms       3413963ms
  692)      1             7            52159             2389ms           3414013ms       3416402ms
  693)      1             7             2622             9461ms           3416452ms       3425913ms
  694)      1             8            62076             6780ms           3425963ms       3432743ms
  695)      1             8              484             8676ms           3432793ms       3441469ms
  696)      1             8             8555             6419ms           3441519ms       3447938ms
  697)      1             8            22077             3577ms           3447988ms       3451565ms
  698)      1             8            56108             3401ms           3451615ms       3455016ms
  699)      1             8            29389              347ms           3455066ms       3455413ms
  700)      1             8            33379             2458ms           3455463ms       3457921ms
  701)      1             8            53745             5398ms           3457971ms       3463369ms
  702)      1             8            52725              476ms           3463419ms       3463895ms
  703)      1             8             4131             4637ms           3463945ms       3468582ms
  704)      1             8            27820             7988ms           3468632ms       3476620ms
  705)      1             8            36148             6515ms           3476670ms       3483185ms
  706)      1             8              384             4228ms           3483235ms       3487463ms
  707)      1             8            52465             2296ms           3487513ms       3489809ms
  708)      1             8            61246             4161ms           3489859ms       3494020ms
  709)      1             8            35778             2108ms           3494070ms       3496178ms
  710)      1             8            47989             3477ms           3496228ms       3499705ms
  711)      1             8            64902             4109ms           3499755ms       3503864ms
  712)      1             8            26554             4715ms           3503914ms       3508629ms
  713)      1             8            54892             5368ms           3508679ms       3514047ms
  714)      1             8             7956             5864ms           3514097ms       3519961ms
  715)      1             8            36816             9471ms           3520011ms       3529482ms
  716)      1             8            46681             3772ms           3529532ms       3533304ms
  717)      1             8            64104             4836ms           3533354ms       3538190ms
  718)      1             8            14622              165ms           3538240ms       3538405ms
  719)      1             8            40820             5329ms           3538455ms       3543784ms
  720)      1             8             7317             9351ms           3543834ms       3553185ms
  721)      1             8             5052             1114ms           3553235ms       3554349ms
  722)      1             8            12097             3937ms           3554399ms       3558336ms
  723)      1             8             1447             2532ms           3558386ms       3560918ms
  724)      1             8            21365             5901ms           3560968ms       3566869ms
  725)      1             8             9171             8862ms           3566919ms       3575781ms
  726)      1             8            64129             9570ms           3575831ms       3585401ms
  727)      1             8            15124             8034ms           3585451ms       3593485ms
  728)      1             8            45397             1503ms           3593535ms       3595038ms
  729)      1             8            34011             2915ms           3595088ms       3598003ms
  730)      1             8             7564              158ms           3598053ms       3598211ms
  731)      1             8            65238             9952ms           3598261ms       3608213ms
  732)      1             8            49617             4782ms           3608263ms       3613045ms
  733)      1             8             9019             5695ms           3613095ms       3618790ms
  734)      1             8            10286             7710ms           3618840ms       3626550ms
  735)      1             8               22             8482ms           3626600ms       3635082ms
  736)      1             8             7191             2480ms           3635132ms       3637612ms
  737)      1             8            19291             8599ms           3637662ms       3646261ms
  738)      1             8            51155             1735ms           3646311ms       3648046ms
  739)      1             8            14507              216ms           3648096ms       3648312ms
  740)      1             8            25040             3941ms           3648362ms       3652303ms
  741)      1             8            18689             1334ms           3652353ms       3653687ms
  742)      1             8             6500             2965ms           3653737ms       3656702ms
  743)      1             8             4935             1339ms           3656752ms       3658091ms
  744)      1             8            61883             7922ms           3658141ms       3666063ms
  745)      1             8            53447             2510ms           3666113ms       3668623ms
  746)      1             8             6714             1184ms           3668673ms       3669857ms
  747)      1             8            15675             7046ms           3669907ms       3676953ms
  748)      1             8            27397             9674ms           3677003ms       3686677ms
  749)      1             8            45455             1732ms           3686727ms       3688459ms
  750)      1             8            38159             2333ms           3688509ms       3690842ms
  751)      1             8             1138             6461ms           3690892ms       3697353ms
  752)      1             8            64050             6830ms           3697403ms       3704233ms
  753)      1             8            35833             4794ms           3704283ms       3709077ms
  754)      1             8            45349             2751ms           3709127ms       3711878ms
  755)      1             8             7292             7753ms           3711928ms       3719681ms
  756)      1             8            26679             8468ms           3719731ms       3728199ms
  757)      1             8            23723              141ms           3728249ms       3728390ms
  758)      1             8             5806             7814ms           3728440ms       3736254ms
  759)      1             8            10980             8638ms           3736304ms       3744942ms
  760)      1             8            17141             7178ms           3744992ms       3752170ms
  761)      1             8            42880             9094ms           3752220ms       3761314ms
  762)      1             8             4692             2002ms           3761364ms       3763366ms
  763)      1             8            17961             7651ms           3763416ms       3771067ms
  764)      1             8            48430             8951ms           3771117ms       3780068ms
  765)      1             8             9845             2582ms           3780118ms       3782700ms
  766)      1             8            27344             5899ms           3782750ms       3788649ms
  767)      1             8             2750             2560ms           3788699ms       3791259ms
  768)      1             8             5010             1330ms           3791309ms       3792639ms
  769)      1             8            12519             6222ms           3792689ms       3798911ms
  770)      1             8            40924             6177ms           3798961ms       3805138ms
  771)      1             8             3492             6358ms           3805188ms       3811546ms
  772)      1             8            49919             1465ms           3811596ms       3813061ms
  773)      1             8            34053             6342ms           3813111ms       3819453ms
  774)      1             8            63742             7080ms           3819503ms       3826583ms
  775)      1             8              357             1805ms           3826633ms       3828438ms
  776)      1             8            43886             6131ms           3828488ms       3834619ms
  777)      1             8            35919             3206ms           3834669ms       3837875ms
  778)      1             8            20001             4558ms           3837925ms       3842483ms
  779)      1             8             6707             3406ms           3842533ms       3845939ms
  780)      1             8            36912             8285ms           3845989ms       3854274ms
  781)      1             8            38696             2191ms           3854324ms       3856515ms
  782)      1             9            36080             3287ms           3856565ms       3859852ms
  783)      1             9            64826             9100ms           3859902ms       3869002ms
  784)      1             9            14860              183ms           3869052ms       3869235ms
  785)      1             9            22991             2256ms           3869285ms       3871541ms
  786)      1             9             4364             3594ms           3871591ms       3875185ms
  787)      1             9            14916             6800ms           3875235ms       3882035ms
  788)      1             9            39331             1948ms           3882085ms       3884033ms
  789)      1             9             4754              215ms           3884083ms       3884298ms
  790)      1             9            43189             7245ms           3884348ms       3891593ms
  791)      1             9            56912             2264ms           3891643ms       3893907ms
  792)      1             9            44858             6465ms           3893957ms       3900422ms
  793)      1             9            42217             9563ms           3900472ms       3910035ms
  794)      1             9            49617             5096ms           3910085ms       3915181ms
  795)      1             9            39709             5100ms           3915231ms       3920331ms
  796)      1             9            21490              422ms           3920381ms       3920803ms
  797)      1             9            31725             6921ms           3920853ms       3927774ms
  798)      1             9            30008             5554ms           3927824ms       3933378ms
  799)      1             9             6336             5504ms           3933428ms       3938932ms
  800)      1             9            20353              768ms           3938982ms       3939750ms
  801)      1             9            28859             5017ms           3939800ms       3944817ms
  802)      1             9            48492             1865ms           3944867ms       3946732ms
  803)      1             9            32709             4216ms           3946782ms       3950998ms
  804)      1             9             9935             1443ms           3951048ms       3952491ms
  805)      1             9            28343             8022ms           3952541ms       3960563ms
  806)      1             9            53117             9220ms           3960613ms       3969833ms
  807)      1             9             1053             1021ms           3969883ms       3970904ms
  808)      1             9            56034             8080ms           3970954ms       3979034ms
  809)      1             9            61302             7566ms           3979084ms       3986650ms
  810)      1             9            38509             2500ms           3986700ms       3989200ms
  811)      1             9            52915             8305ms           3989250ms       3997555ms
  812)      1             9            31662             4064ms           3997605ms       4001669ms
  813)      1             9            26120             7163ms           4001719ms       4008882ms
  814)      1             9            59088             7935ms           4008932ms       4016867ms
  815)      1             9            65524             4435ms           4016917ms       4021352ms
  816)      1             9            28664             8636ms           4021402ms       4030038ms
  817)      1             9            16475             2353ms           4030088ms       4032441ms
  818)      1             9             2182             3705ms           4032491ms       4036196ms
  819)      1             9            23609             3846ms           4036246ms       4040092ms
  820)      1             9            17422             7506ms           4040142ms       4047648ms
  821)      1             9            16713             7140ms           4047698ms       4054838ms
  822)      1             9            45063              161ms           4054888ms       4055049ms
  823)      1             9            64725             2675ms           4055099ms       4057774ms
  824)      1             9            13869             3488ms           4057824ms       4061312ms
  825)      1             9            41236             6425ms           4061362ms       4067787ms
  826)      1             9            51961             5120ms           4067837ms       4072957ms
  827)      1             9            54002             2478ms           4073007ms       4075485ms
  828)      1             9            21359             5516ms           4075535ms       4081051ms
  829)      1             9            40087             5374ms           4081101ms       4086475ms
  830)      1             9            35215             1954ms           4086525ms       4088479ms
  831)      1             9            60005             9780ms           4088529ms       4098309ms
  832)      1             9            55975             4510ms           4098359ms       4102869ms
  833)      1             9            60318             1509ms           4102919ms       4104428ms
  834)      1             9             3793             1469ms           4104478ms       4105947ms
  835)      1             9            46875             9904ms           4105997ms       4115901ms
  836)      1             9            46279             4490ms           4115951ms       4120441ms
  837)      1             9            54381              809ms           4120491ms       4121300ms
  838)      1             9            58709             1491ms           4121350ms       4122841ms
  839)      1             9            40174             5649ms           4122891ms       4128540ms
  840)      1             9            50058             4127ms           4128590ms       4132717ms
  841)      1             9            48233             9018ms           4132767ms       4141785ms
  842)      1             9            53261             7533ms           4141835ms       4149368ms
  843)      1             9            50392             5555ms           4149418ms       4154973ms
  844)      1             9            49911             7276ms           4155023ms       4162299ms
  845)      1             9            55409             9670ms           4162349ms       4172019ms
  846)      1             9            55670             3590ms           4172069ms       4175659ms
  847)      1             9             9795             6421ms           4175709ms       4182130ms
  848)      1             9             8097             2500ms           4182180ms       4184680ms
  849)      1             9            63185             4816ms           4184730ms       4189546ms
  850)      1             9            40353             4267ms           4189596ms       4193863ms
  851)      1             9            30177             1848ms           4193913ms       4195761ms
  852)      1             9            47665             5333ms           4195811ms       4201144ms
  853)      1             9            44045              787ms           4201194ms       4201981ms
  854)      1             9             8124             1414ms           4202031ms       4203445ms
  855)      1             9            43819             6782ms           4203495ms       4210277ms
  856)      1             9            22933             7697ms           4210327ms       4218024ms
  857)      1             9            27353             6955ms           4218074ms       4225029ms
  858)      1             9            30819              941ms           4225079ms       4226020ms
  859)      1             9            49273             4136ms           4226070ms       4230206ms
  860)      1             9            16792             9631ms           4230256ms       4239887ms
  861)      1             9            50625             8412ms           4239937ms       4248349ms
  862)      1             9            37820             7543ms           4248399ms       4255942ms
  863)      1             9            31700             8024ms           4255992ms       4264016ms
  864)      1             9            50409             9323ms           4264066ms       4273389ms
  865)      1             9            32922             9009ms           4273439ms       4282448ms
  866)      1             9            42780             7795ms           4282498ms       4290293ms
  867)      1             9             1213             6280ms           4290343ms       4296623ms
  868)      1             9            63233             3232ms           4296673ms       4299905ms
  869)      1             9            30299             8886ms           4299955ms       4308841ms
  870)      1             9             9710             4902ms           4308891ms       4313793ms
  871)      1             9            52225             9239ms           4313843ms       4323082ms
  872)      1             9            38952             1264ms           4323132ms       4324396ms
  873)      1             9            64457             5697ms           4324446ms       4330143ms
  874)      1             9            47947             1585ms           4330193ms       4331778ms
  875)      1             9             7879             1050ms           4331828ms       4332878ms
  876)      1             9            37160             4804ms           4332928ms       4337732ms
  877)      1             9            57508             1188ms           4337782ms       4338970ms
  878)      1             9             2279             3955ms           4339020ms       4342975ms
  879)      1             9            34525             6396ms           4343025ms       4349421ms
  880)      1             9            53857             9730ms           4349471ms       4359201ms
  881)      1            10            16465             9317ms           4359251ms       4368568ms
  882)      1            10            30050             9467ms           4368618ms       4378085ms
  883)      1            10            39311             2047ms           4378135ms       4380182ms
  884)      1            10            10557             9144ms           4380232ms       4389376ms
  885)      1            10            22127             2798ms           4389426ms       4392224ms
  886)      1            10            43610             7238ms           4392274ms       4399512ms
  887)      1            10             6465             4802ms           4399562ms       4404364ms
  888)      1            10            65038             3680ms           4404414ms       4408094ms
  889)      1            10            23468             5310ms           4408144ms       4413454ms
  890)      1            10            31341             1557ms           4413504ms       4415061ms
  891)      1            10            21757             4573ms           4415111ms       4419684ms
  892)      1            10            11412             4680ms           4419734ms       4424414ms
  893)      1            10            11397             6215ms           4424464ms       4430679ms
  894)      1            10            22564             3167ms           4430729ms       4433896ms
  895)      1            10              750             2121ms           4433946ms       4436067ms
  896)      1            10            12732             6553ms           4436117ms       4442670ms
  897)      1            10            16120              312ms           4442720ms       4443032ms
  898)      1            10            39896              235ms           4443082ms       4443317ms
  899)      1            10            51643             3428ms           4443367ms       4446795ms
  900)      1            10             3792             4886ms           4446845ms       4451731ms
  901)      1            10             7659             6042ms           4451781ms       4457823ms
  902)      1            10            39940             1756ms           4457873ms       4459629ms
  903)      1            10            61294             2187ms           4459679ms       4461866ms
  904)      1            10             9667             6953ms           4461916ms       4468869ms
  905)      1            10            15250             7079ms           4468919ms       4475998ms
  906)      1            10            40290             6969ms           4476048ms       4483017ms
  907)      1            10            59561             6411ms           4483067ms       4489478ms
  908)      1            10            16437              802ms           4489528ms       4490330ms
  909)      1            10            64604             2498ms           4490380ms       4492878ms
  910)      1            10            30887             2251ms           4492928ms       4495179ms
  911)      1            10            40316              954ms           4495229ms       4496183ms
  912)      1            10            35843             7641ms           4496233ms       4503874ms
  913)      1            10            25546              755ms           4503924ms       4504679ms
  914)      1            10            52342             9955ms           4504729ms       4514684ms
  915)      1            10            21577             3515ms           4514734ms       4518249ms
  916)      1            10            16076              803ms           4518299ms       4519102ms
  917)      1            10            38709             6748ms           4519152ms       4525900ms
  918)      1            10            24289             4349ms           4525950ms       4530299ms
  919)      1            10             1039             6294ms           4530349ms       4536643ms
  920)      1            10            65462             9252ms           4536693ms       4545945ms
  921)      1            10            49361             9917ms           4545995ms       4555912ms
  922)      1            10            62643             2056ms           4555962ms       4558018ms
  923)      1            10            57479             5634ms           4558068ms       4563702ms
  924)      1            10            23570             2231ms           4563752ms       4565983ms
  925)      1            10            58691             3521ms           4566033ms       4569554ms
  926)      1            10             9342             1007ms           4569604ms       4570611ms
  927)      1            10             9961              329ms           4570661ms       4570990ms
  928)      1            10            12529             8289ms           4571040ms       4579329ms
  929)      1            10            35264              507ms           4579379ms       4579886ms
  930)      1            10            53995              244ms           4579936ms       4580180ms
  931)      1            10             2726              480ms           4580230ms       4580710ms
  932)      1            10            62252               64ms           4580760ms       4580824ms
  933)      1            10            10937             8828ms           4580874ms       4589702ms
  934)      1            10            54816             2920ms           4589752ms       4592672ms
  935)      1            10            62170             7396ms           4592722ms       4600118ms
  936)      1            10            35668             3776ms           4600168ms       4603944ms
  937)      1            10            35408             4116ms           4603994ms       4608110ms
  938)      1            10            10314             9134ms           4608160ms       4617294ms
  939)      1            10            27151             9704ms           4617344ms       4627048ms
  940)      1            10             7782             5914ms           4627098ms       4633012ms
  941)      1            10             2390             4225ms           4633062ms       4637287ms
  942)      1            10            40297             2452ms           4637337ms       4639789ms
  943)      1            10            10362             3491ms           4639839ms       4643330ms
  944)      1            10            60961             5054ms           4643380ms       4648434ms
  945)      1            10            27904             1009ms           4648484ms       4649493ms
  946)      1            10            28188             1725ms           4649543ms       4651268ms
  947)      1            10            64581              138ms           4651318ms       4651456ms
  948)      1            10            56299             6964ms           4651506ms       4658470ms
  949)      1            10            42155             8146ms           4658520ms       4666666ms
  950)      1            10            14489             2929ms           4666716ms       4669645ms
  951)      1            10            36930             4263ms           4669695ms       4673958ms
  952)      1            10            32898             7466ms           4674008ms       4681474ms
  953)      1            10            25095             4508ms           4681524ms       4686032ms
  954)      1            10             6364             4480ms           4686082ms       4690562ms
  955)      1            10            58506             8935ms           4690612ms       4699547ms
  956)      1            10            37973             8696ms           4699597ms       4708293ms
  957)      1            10              387             6355ms           4708343ms       4714698ms
  958)      1            10            63764             6980ms           4714748ms       4721728ms
  959)      1            10            40959             2180ms           4721778ms       4723958ms
  960)      1            10            28602             6338ms           4724008ms       4730346ms
  961)      1            10             7940             4942ms           4730396ms       4735338ms
